CourseTitle|CourseCode|Subterm|CreditHours|Instructor|CourseDays|TimeSlot|BuildingCode|Room|Comments
Working with Light and Shadow|FILM-3461-R-1|Fall|5|Misael Sanchez|W|1:00 PM-5:00 PM|HEIM|130|Open
Cinematography, Color, Composition and Style|FILM-3463-R-1|Spring|5|Misael Sanchez|W|1:00 PM-5:00 PM|HEIM|130|Open
Producing for Film and TV|FILM-3470-R-1|Fall|5|Elizabeth Levison|M|11:05 AM-2:00 PM|HEIM|111|Open
Experiments in Hybrid Animation: Materials and Methods|FILM-3505-R-1|Year|10|Robin Starbuck|TW|3:35 PM-5:30 PM|HEIM|135|Open
Concept Art: Visual Development|FILM-3513-R-1|Spring|5|Scott Duce|WF|9:00 AM-10:55 AM|HEIM|129|Open
Advanced Writing for TV: Writing the Original Script|FILM-4186-R-1|Spring|5|Marygrace O'Shea|R|11:05 AM-2:00 PM|HEIM|211|Advanced
Advanced Writing for the Screen|FILM-4190-R-1|Fall|5|Rona Mark|F|11:05 AM-2:00 PM|HEIM|111|Intermediate/Advanced
Adv. Independent Studio, Animation|FILM-4191-A-1|Year|10|Scott Duce||-|HEIM|129|Advaced; permission req.
Adv. Independent Studio, Animation|FILM-4191-A-1|Year|10|Robin Starbuck||-|||
FYS:Hollywood from the Margins|FLMH-1020-F-1|Year|10|Leana Hirschfeld-Kroen|F|1:30 PM-3:25 PM|HEIM|211|Group collaborative, alt Fri
FYS:Hollywood from the Margins|FLMH-1020-F-1|Year|10|Leana Hirschfeld-Kroen|MR|7:00 PM-10:00 PM|HEIM|135|Film screening
FYS:Hollywood from the Margins|FLMH-1020-F-1|Year|10|Leana Hirschfeld-Kroen|TF|11:05 AM-12:30 PM|HEIM|211|First Year Studies
The History and Aesthetics of Film|FLMH-2014-L-1|Year|10|Michael Cramer|MW|7:00 PM-10:00 PM|HEIM|202|Film screening
The History and Aesthetics of Film|FLMH-2014-L-1|Year|10|Michael Cramer|TR|3:35 PM-5:00 PM|HEIM|202|Open
The History and Aesthetics of Film|FLMH-2014-L-1|Year|10|Michael Cramer|W|5:35 PM-6:30 PM|HEIM|211|Group conference
The History and Aesthetics of Film|FLMH-2014-L-1|Year|10|Michael Cramer|M|5:35 PM-6:30 PM|HEIM|211|Group conference
Not For Children|FLMH-2022-L-1|Spring|5|Robin Starbuck|W|11:05 AM-12:00 PM|HEIM|211|Group conference
Not For Children|FLMH-2022-L-1|Spring|5|Robin Starbuck|W|10:00 AM-10:55 AM|HEIM|211|Group conference
Not For Children|FLMH-2022-L-1|Spring|5|Robin Starbuck|T|9:30 AM-12:30 PM|HEIM|135|Open
Not For Children|FLMH-2022-L-1|Spring|5|Robin Starbuck|W|2:00 PM-2:55 PM|HEIM|211|Group confernce
The Movie Musical|FLMH-2029-L-1|Spring|5|Leana Hirschfeld-Kroen|TR|7:00 PM-10:00 PM|HEIM|202|Film screening
The Movie Musical|FLMH-2029-L-1|Spring|5|Leana Hirschfeld-Kroen|W|3:35 PM-4:30 PM|HEIM|111|Group conference
The Movie Musical|FLMH-2029-L-1|Spring|5|Leana Hirschfeld-Kroen|W|2:05 PM-3:00 PM|HEIM|111|Group conference
The Movie Musical|FLMH-2029-L-1|Spring|5|Leana Hirschfeld-Kroen|W|11:05 AM-12:00 PM|HEIM|208|Group conference
The Movie Musical|FLMH-2029-L-1|Spring|5|Leana Hirschfeld-Kroen|TR|9:30 AM-10:55 AM|HEIM|202|Open
Cultural History of Music Videos|FLMH-2060-L-1|Fall|5|TBATBA|TR|9:00 AM-10:55 AM|HEIM|202|Open
Cultural History of Music Videos|FLMH-2060-L-1|Fall|5|TBATBA|T|11:05 AM-12:00 PM|PAC|2|Group conference
Cultural History of Music Videos|FLMH-2060-L-1|Fall|5|TBATBA|R|11:05 AM-12:00 PM|PAC|2|Group conference
Queer and Feminist Cinemas of the Arab Middle East N. Africa|FLMH-3137-R-1|Fall|5|Jeremy Randall|MW|9:30 AM-10:55 AM|MORL|CL|Oprn
Global Horror Cinema|FLMH-3207-R-1|Spring|5|Michael Cramer|MR|2:00 PM-3:25 PM|HEIM|208|Open
Global Horror Cinema|FLMH-3207-R-1|Spring|5|Michael Cramer|TR|7:00 PM-10:00 PM|HEIM|135|Film screening
Feminist Film History|FLMH-3220-R-1|Fall|5|Leana Hirschfeld-Kroen|W|3:35 PM-6:00 PM|HEIM|111|Open
Feminist Film History|FLMH-3220-R-1|Fall|5|Leana Hirschfeld-Kroen|T|7:00 PM-10:00 PM|HEIM|202|Film screening
Beginning French|FREN-3001-R-1|Year|10|Ellen Di Giovanni|TR|3:35 PM-5:00 PM|BATES|206|Open
Beginning French|FREN-3001-R-1|Year|10|Ellen Di Giovanni|F|12:45 PM-1:45 PM|BATES|206|Group conference
Intermediate French I French Identities|FREN-3501-R-1|Year|10|Eric Leveau|WF|1:30 PM-3:25 PM|DL|LR|Intermediate
Intermed French I: Scène(s) de littérature|FREN-3502-R-1|Year|10|Ellen Di Giovanni|TR|9:30 AM-10:55 AM|LIBR|E2|Intermediate
Intermediate French II: The Writing of Everyday Life in French Lit|FREN-3750-R-1|Year|10|TBATBA|WF|2:00 PM-3:25 PM|LIBR|E2|Fall: TBA, Spring: Earle
Adv French:Writing the Modern Self: Autobiography,Autoportrait,Autofic|FREN-4034-R-1|Fall|5|Jason Earle|TR|3:35 PM-5:00 PM|DL|LR|Intermediate/Advanced
Food, Agriculture, Environment and Development|GEOG-2015-L-1|Spring|5|Joshua Muldavin|W|12:35 PM-1:30 PM|SHEFF|01|Group conference
Food, Agriculture, Environment and Development|GEOG-2015-L-1|Spring|5|Joshua Muldavin|W|11:05 AM-12:00 PM|SHEFF|01|Group conference
Food, Agriculture, Environment and Development|GEOG-2015-L-1|Spring|5|Joshua Muldavin|TR|3:35 PM-5:00 PM|SC|103|Open
The Geography of Contemporary China: A Political Ecology|GEOG-3572-R-1|Fall|5|Joshua Muldavin|W|3:35 PM-6:00 PM|SHEFF|01|Open
Beginning German|GERM-3001-R-1|Year|10|TBATBA|MWR|2:00 PM-3:25 PM|BATES|015|Open
Intermediate German|GERM-3510-R-1|Year|10|Roland Dollinger|MW|3:35 PM-5:00 PM|BATES|015|Intermediate
Beginning Greek|GREE-3001-A-1|Year|10|Emily Fairey|MR|2:00 PM-3:25 PM|DL|04|Open
Beginning Greek|GREE-3001-A-1|Year|10|Emily Fairey|W|12:35 PM-1:30 PM|DL|04|Language Lab
First-Year Studies: Romantic Europe|HIST-1034-F-1|Year|10|Philip Swoboda|TF|11:05 AM-12:30 PM|BATES|015|First Year Studies
First Year Studies: "Inventing America": Cultural Encounters|HIST-1044-F-1|Year|10|Eileen Cheng|MR|11:05 AM-12:30 PM|BATES|206|First Year Studies
FYS: In the Tradition:Introduction to African-American History|HIST-1046-F-1|Year|10|Komozi Woodard|MR|11:05 AM-12:30 PM|WEST|104|First Year Studies
FYS: Ideas of Africa: Africa Writes Back|HIST-1054-F-1|Year|10|Mary Dillard|TR|9:30 AM-10:55 AM|DL|LR|First Year Studies
International Law|HIST-2035-L-1|Fall|5|Mark Shulman|R|3:35 PM-4:30 PM|DL|04|Group conference
International Law|HIST-2035-L-1|Fall|5|Mark Shulman|M|3:35 PM-4:30 PM|DL|04|Group conference
International Law|HIST-2035-L-1|Fall|5|Mark Shulman|MR|2:00 PM-3:25 PM|TITS|LH|Open
Human Rights|HIST-2036-L-1|Spring|5|Mark Shulman|M|3:35 PM-4:30 PM|DL|04|Group conference
Human Rights|HIST-2036-L-1|Spring|5|Mark Shulman|MR|2:00 PM-3:25 PM|TITS|LH|Open
Human Rights|HIST-2036-L-1|Spring|5|Mark Shulman|R|3:35 PM-4:30 PM|DL|04|Group conference
The Jewish Century: European Jewish History: Emancipation to Destructn|HIST-2041-L-1|Fall|5|Philipp Nielsen|T|3:35 PM-5:00 PM|LIBR|PILLW|Open
The Jewish Century: European Jewish History: Emancipation to Destructn|HIST-2041-L-1|Fall|5|Philipp Nielsen|R|2:00 PM-3:25 PM|SLON|2|Group conference, meets weekly
The Jewish Century: European Jewish History: Emancipation to Destructn|HIST-2041-L-1|Fall|5|Philipp Nielsen|R|3:35 PM-5:00 PM|SLON|2|Group conference, meets weekly
Screening the City|HIST-2046-L-1|Spring|5|Ryan Purcell|R|2:00 PM-2:55 PM|HEIM|210|Group conference, meets weekly
Screening the City|HIST-2046-L-1|Spring|5|Ryan Purcell|T|3:35 PM-4:30 PM|SLON|SR|Group conference, meets weekly
Screening the City|HIST-2046-L-1|Spring|5|Ryan Purcell|R|3:35 PM-5:30 PM|HEIM|208|Open
Making Latin America|HIST-2078-L-1|Fall|5|Maria Fajardo-Hernandez|M|9:00 AM-10:55 AM|HEIM|135|Open
Making Latin America|HIST-2078-L-1|Fall|5|Maria Fajardo-Hernandez|R|10:00 AM-10:55 AM|SLON|2|Group conference, meets weekly
Making Latin America|HIST-2078-L-1|Fall|5|Maria Fajardo-Hernandez|R|11:05 AM-12:00 PM|SLON|2|Group conference, meets weekly
Racial Soundscapes|HIST-2095-L-1|Fall|5|Ryan Purcell|R|2:00 PM-2:55 PM|HEIM|211|Group conference, meets weekly
Racial Soundscapes|HIST-2095-L-1|Fall|5|Ryan Purcell|R|3:35 PM-5:30 PM|HEIM|208|l
Racial Soundscapes|HIST-2095-L-1|Fall|5|Ryan Purcell|T|3:35 PM-4:30 PM|HEIM|211|Group conference, meets weekly
The American Revolution|HIST-3014-R-1|Fall|5|Eileen Cheng|W|11:05 AM-1:30 PM|SHEFF|02|Open
"Fighting over the Founders": Legacy of American Revoltution|HIST-3022-R-1|Spring|5|Eileen Cheng|W|11:05 AM-1:30 PM|SHEFF|02|Open
Imperialism and Servitude: Slave Rebellions in Greek/Roman History|HIST-3103-R-1|Spring|5|Emily Fairey|MW|3:35 PM-5:00 PM|TITS|LR|Open
The Disreputable Sixteenth Century|HIST-3164-R-1|Year|10|Philip Swoboda|MR|2:00 PM-3:25 PM|ANDH|101|Open
Gender and History in China: Beyond Eunuchs and Concubines|HIST-3166-R-1|Year|10|Kevin Landdeck|W|3:35 PM-6:00 PM|TWEED|LR|Sophomores and above
History of White Supremacy|HIST-3277-A-1|Fall|5|Ryan Purcell|F|9:00 AM-10:55 AM|TWEED|LR|Sophomores and above
Documenting Asian/America|HIST-3330-R-1|Fall|5|Karintha Lowe|TR|3:35 PM-5:00 PM|HEIM|210|Open
Wealth and Poverty: A History of Capitalism (and its Critics)|HIST-3340-R-1|Fall|5|Maria Fajardo-Hernandez|M|1:00 PM-3:25 PM|HEIM|211|Sophomores and above
Nationalism|HIST-3415-R-1|Spring|5|Matthew Ellis|W|3:35 PM-6:00 PM|BATES|04|Sophomores and above
The Middle East & the Politics of Collective Memory|HIST-3423-R-1|Fall|5|Matthew Ellis|W|3:35 PM-6:00 PM|DL|LR|Sophomores and above
Decolonization and the End of Empire|HIST-3424-R-1|Fall|5|Matthew Ellis|TF|11:05 AM-12:30 PM|BATES|04|Open
Women and Gender in the Middle East|HIST-3461-R-1|Spring|5|Matthew Ellis|TF|11:05 AM-12:30 PM|WEST|104|Open
The Power of Place: Museums, Monuments & Public History Yonkers|HIST-3721-R-1|Spring|5|Mary Dillard|W|2:00 PM-5:00 PM|HEIM|210|Sophomores and above
Public Humanities in Practice: The Yonkers Public Library|HIST-4128-A-1|Spring|3|Benjamin Zender|T|5:45 PM-8:00 PM|OFFCM||Intermediate/Advanced
Beginning Italian: Viaggio in Italia|ITAL-3001-R-1|Year|10|Tristana Rorandelli|W|9:30 AM-10:25 AM|LIBR|E2|Group conference
Beginning Italian: Viaggio in Italia|ITAL-3001-R-1|Year|10|Tristana Rorandelli|MR|2:00 PM-3:25 PM|LIBR|E2|Open
Beginning Italian: Viaggio in Italia|ITAL-3001-R-1|Year|10|Tristana Rorandelli|W|12:30 PM-1:25 PM|LIBR|E2|Group conference
Intermediate Italian: Modern Italian Culture and Literat|ITAL-3510-R-1|Year|10|Tristana Rorandelli|MR|11:05 AM-12:30 PM|LIBR|E2|Intermediate
Japanese I|JAPN-3001-R-1|Year|10|Izumi Onishi|MR|2:00 PM-3:25 PM|WEST|104|Open
Japanese I|JAPN-3001-R-2|Year|10|Yoshimi Arai|WF|2:00 PM-3:25 PM|BATES|04|Open
Japanese II|JAPN-3510-R-1|Year|10|Izumi Onishi|MW|3:35 PM-5:00 PM|WEST|104|Intermediate
Japanese III|JAPN-3700-R-1|Year|10|Izumi Onishi|TR|3:35 PM-5:00 PM|WEST|104|Intermediate/Advanced
Music and Identity: “Listening” to Race, Gender, and Sexuality|LGST-2040-L-1|Fall|5|Daniel McCarthy|R|2:00 PM-2:55 PM|PAC|2|Group conference
Music and Identity: “Listening” to Race, Gender, and Sexuality|LGST-2040-L-1|Fall|5|Daniel McCarthy|WF|2:00 PM-3:25 PM|HEIM|208|Open
Music and Identity: “Listening” to Race, Gender, and Sexuality|LGST-2040-L-1|Fall|5|Daniel McCarthy|R|3:35 PM-4:30 PM|PAC|2|Group conference
Perverts in Groups: Queer Social Lives|LGST-3022-R-1|Spring|5|Julie Abraham|MR|11:05 AM-12:30 PM|DL|LR|Open
Feminist and Queer Activisms: Looking Beyond Stonewall|LGST-3054-R-1|Spring|5|TBATBA|WF|2:00 PM-3:25 PM|ANDH|103|Open
Queer/Trans/Digital|LGST-3079-R-1|Fall|3|Yeong Ran Kim|T|11:30 AM-1:30 PM|HEIM|210|Sophomores and above
Feminist and Queer Waves: Reading Canon in Context|LGST-3209-R-1|Fall|5|Benjamin Zender|M|11:05 AM-12:30 PM|DL|LR|Sophomores and above
Feminist and Queer Waves: Reading Canon in Context|LGST-3209-R-1|Fall|5|Benjamin Zender|R|11:05 AM-12:30 PM|LIBR|E1|
Absences of the Archive: Queer Pespectives|LGST-3211-R-1|Fall|5|Daniel McCarthy|T|3:35 PM-5:30 PM|SLON|2|Sophomores and above
Brown Feeling(s):Situating the Work of José Esteban Muñoz|LGST-3260-R-1|Spring|5|TBATBA|T|3:35 PM-5:30 PM|DL|LR|Sophomores and above
Pretty, Witty, and Gay|LGST-3762-R-1|Spring|5|Julie Abraham|T|11:05 AM-1:30 PM|DL|LR|Sophomores and above
Interrogating the Information Ecosystem|LIBR-3000-R-1|Fall|1|Rachel Leff|F|11:05 AM-12:30 PM|LIBR|E1|Open; meets alternate weeks
Interrogating the Information Ecosystem|LIBR-3000-R-1|Fall|1|Emily Johnson-Young||-|||
FYS: An Introduction to German Literature & Film from 18th C-Now|LITR-1057-F-1|Year|10|Roland Dollinger|T|5:00 PM-6:25 PM|BATES|015|Group collaborative, biweekly
FYS: An Introduction to German Literature & Film from 18th C-Now|LITR-1057-F-1|Year|10|Roland Dollinger|MR|11:05 AM-12:30 PM|ANDH|104|First Year Studies
FYS: Deconstructing Nature in the Western Tradition|LITR-1064-F-1|Year|10|Eric Leveau|TF|11:05 AM-12:30 PM|LIBR|E2|First Year Studies
FYS: Deconstructing Nature in the Western Tradition|LITR-1064-F-1|Year|10|Eric Leveau|W|3:35 PM-5:00 PM|LIBR|E2|Group collaborative
FYS: Literatures of the Spanish Speaking World in Context|LITR-1085-F-1|Year|10|Eduardo Lago|MR|11:05 AM-12:30 PM|TWEED|LR|First Year Studies
High Romantic Poetry: Blake to Keats|LITR-2008-L-1|Fall|5|Neil Arditi|R|1:30 PM-3:25 PM|SC|103|Open
High Romantic Poetry: Blake to Keats|LITR-2008-L-1|Fall|5|Neil Arditi|T|11:30 AM-12:25 PM|SC|101|Group conference, meets weekly
High Romantic Poetry: Blake to Keats|LITR-2008-L-1|Fall|5|Neil Arditi|T|4:00 PM-4:55 PM|SHEFF|02|Group conference, meets weekly
Shakespeare and the Semiotics of Performance|LITR-2033-L-1|Year|10|Joseph Lauinger|F|12:35 PM-1:30 PM|TITS|LR|Group conference
Shakespeare and the Semiotics of Performance|LITR-2033-L-1|Year|10|Joseph Lauinger|T|12:35 PM-1:30 PM|TITS|LR|Group conference
Shakespeare and the Semiotics of Performance|LITR-2033-L-1|Year|10|Joseph Lauinger|TF|11:05 AM-12:30 PM|TITS|LH|Open
Forms and Logic of Comedy|LITR-2041-L-1|Spring|5|Frederic Smoler|MR|11:05 AM-12:30 PM|TITS|LH|Open
Forms and Logic of Comedy|LITR-2041-L-1|Spring|5|Frederic Smoler|T|11:05 AM-12:00 PM|DL|04|Group conference
Forms and Logic of Comedy|LITR-2041-L-1|Spring|5|Frederic Smoler|W|10:00 AM-10:55 AM|DL|LR|Group conference
The Empire’s New Groove: The Global 19th-Century Novel|LITR-2046-L-1|Year|10|Emily Foster|W|1:30 PM-3:25 PM|PAC|3|Open
The Empire’s New Groove: The Global 19th-Century Novel|LITR-2046-L-1|Year|10|Emily Foster|M|12:25 PM-1:50 PM|PAC|2|Group conference
The Empire’s New Groove: The Global 19th-Century Novel|LITR-2046-L-1|Year|10|Emily Foster|M|2:00 PM-3:25 PM|PAC|2|Group conference
Cold War Black Feminism|LITR-2073-L-1|Fall|5|Elias Rodriques|MR|2:00 PM-3:25 PM|HEIM|202|Open
Cold War Black Feminism|LITR-2073-L-1|Fall|5|Elias Rodriques|W|2:30 PM-3:25 PM|HEIM|210|Group conference
Cold War Black Feminism|LITR-2073-L-1|Fall|5|Elias Rodriques|W|3:35 PM-4:30 PM|HEIM|210|Group conference
First Person America:Two Centuries of Classic American Literature|LITR-3010-R-1|Spring|5|Nicolaus Mills|W|11:05 AM-1:00 PM|WEST|104|Sophomores and above
Contemporary Native American Literature|LITR-3012-R-1|Spring|5|Isabel Lockhart|TR|9:30 AM-10:55 AM|BATES|015|Open
African American Prison Literature|LITR-3059-R-1|Spring|5|Elias Rodriques||-|||Bedford Hills
Animals and Animality in Medieval Literature and Culture|LITR-3071-R-1|Spring|5|Gillian Adler|W|3:35 PM-6:00 PM|BATES|206|Open
Energy and Literature|LITR-3078-R-1|Fall|5|Isabel Lockhart|TR|9:30 AM-10:55 AM|HEIM|210|Open
"The Atlantic is a Sea of Bones:" Black Literatures of the Ocean|LITR-3079-R-1|Spring|5|Elias Rodriques|MR|11:05 AM-12:30 PM|SWIN|102|Open
Care Work|LITR-3084-R-1|Fall|5|Emily Bloom|M|1:30 PM-3:25 PM|ANDH|103|Open
Care Work|LITR-3084-R-1|Fall|5|Emily Bloom|W|1:30 PM-3:25 PM|OFFCM||Wartburg
Experiment and Scandal: The 18th Century English Novel|LITR-3125-R-1|Year|10|James Horowitz|TF|11:05 AM-12:30 PM|SHEFF|22|Sophomores and above
The Music of What Happens:Alternate Histories/Counterfactuals|LITR-3133-R-1|Spring|5|Frederic Smoler|MR|2:00 PM-3:25 PM|DL|LR|Open
Ancient Eros: Love in Classical Lit|LITR-3150-R-1|Fall|5|Emily Fairey|MW|3:35 PM-5:00 PM|TITS|LR|Open
Wilde and Shaw|LITR-3163-R-1|Spring|5|Joseph Lauinger|W|11:05 AM-1:30 PM|DL|LR|Sophomores and above
Double Thoughts & Double-Consciousness: Russian & African-Amer Lit|LITR-3171-R-1|Fall|5|Melissa Frazier|MW|3:35 PM-5:00 PM|BATES|04|Open
Modernism Across Generations|LITR-3178-R-1|Spring|5|Emily Bloom|MW|1:30 PM-3:25 PM|TWEED|LR|Open
Dial G for Gothic: Alfred Hitchcock and the Literature of Fear|LITR-3179-R-1|Year|0|James Horowitz|R|4:30 PM-5:25 PM|SHEFF|22|Small group meeting
Dial G for Gothic: Alfred Hitchcock and the Literature of Fear|LITR-3179-R-1|Year|0|James Horowitz|M|4:30 PM-5:25 PM|SHEFF|22|Small group meeting
Dial G for Gothic: Alfred Hitchcock and the Literature of Fear|LITR-3179-R-1|Year|0|James Horowitz|MR|2:00 PM-3:25 PM|BATES|206|Open
Interrogating God: Tragedy/Divinity|LITR-3338-R-1|Fall|5|Joseph Lauinger|W|11:05 AM-1:30 PM|DL|LR|Sophomores and above
Documenting Asian/America|LITR-3353-R-1|Fall|5|Karintha Lowe|TR|3:35 PM-5:00 PM|HEIM|210|Open
Celebrity,Spirituality, & the Cult of Sainthood in the Middle Ages|LITR-3358-R-1|Fall|5|Gillian Adler|W|3:35 PM-6:00 PM|SC|101|Open
Global Surrealisms|LITR-3434-R-1|Spring|5|Jason Earle|TF|11:05 AM-12:30 PM|PAC|3|Open
Emersonian Quartet: Whitman, Dickinson, Frost, Stevens|LITR-3510-R-1|Spring|5|Neil Arditi|R|3:35 PM-5:30 PM|TITS|LR|Open
The Marriage Plot: Love and Romance in American & English Fiction|LITR-3526-R-1|Fall|5|Nicolaus Mills|W|11:05 AM-1:00 PM|WEST|104|Sophomores & above;FY w/perm
Elective Affinities in Contemporary Poetry|LITR-3750-R-1|Year|10|Neil Arditi|M|11:05 AM-1:00 PM|BATES|015|Sophomores and above
FYS: Modern Mathematics: Logic, Risk, Analytics & Optimality|MATH-1020-F-1|Year|10|Daniel King|TR|3:35 PM-5:30 PM|SC|201|First Year Studies
Game Theory: The Study of Strategy and Conflict|MATH-2014-L-1|Spring|5|Daniel King|TR|9:30 AM-10:55 AM|SC|103|Open
Game Theory: The Study of Strategy and Conflict|MATH-2014-L-1|Spring|5|Daniel King|W|2:00 PM-3:15 PM|SC|201|Group conference
Game Theory: The Study of Strategy and Conflict|MATH-2014-L-1|Spring|5|Daniel King|W|3:35 PM-4:50 PM|SC|201|Group conference
An Introduction to Statistical Methods and Analysis|MATH-2024-L-1|Fall|5|Daniel King|TR|9:00 AM-10:55 AM|SC|103|Open
An Introduction to Statistical Methods and Analysis|MATH-2024-L-1|Fall|5|Daniel King|W|2:00 PM-3:15 PM|LIBR|E1|Group conference
An Introduction to Statistical Methods and Analysis|MATH-2024-L-1|Fall|5|Daniel King|W|3:35 PM-4:50 PM|LIBR|E1|Group conference
Calculus I: The Study of Motion and Change|MATH-3005-R-1|Fall|5|Philip Ording|WF|2:00 PM-3:25 PM|ANDH|101|Open
Calculus II: Further Study of Motion and Change|MATH-3010-R-1|Spring|5|Philip Ording|WF|2:00 PM-3:25 PM|ANDH|101|Open
Modern Mathematics: Logic, Risk, Analytics & Optimality|MATH-3025-R-1|Year|10|Daniel King|TR|3:35 PM-5:30 PM|SC|201|Open
Multivariable Math:Linear Algebra, Vector Calculus, Differential Eq|MATH-3516-R-1|Year|10|Philip Ording|TF|11:05 AM-12:30 PM|ANDH|101|Intermediate
FYS:Philosophy as/and/of Literature|PHIL-1022-F-1|Year|10|Scott Shushan|T|10:00 AM-10:55 AM|SWIN|102|Group collaborative
FYS:Philosophy as/and/of Literature|PHIL-1022-F-1|Year|10|Scott Shushan|R|3:35 PM-6:30 PM|ANDH|103|First Year Studies
Philosophy Through Film|PHIL-2021-L-1|Fall|5|Scott Shushan|T|3:35 PM-4:30 PM|DL|04|Group conference, meets weekly
Philosophy Through Film|PHIL-2021-L-1|Fall|5|Scott Shushan|M|1:30 PM-3:25 PM|SC|103|Open
Philosophy Through Film|PHIL-2021-L-1|Fall|5|Scott Shushan|M|3:35 PM-4:30 PM|SC|201|Group conference, meets weekly
Philosophy Through Film|PHIL-2021-L-1|Fall|5|Scott Shushan|T|11:30 AM-12:25 PM|DL|04|Group conference, meets weekly
Intro Social Theory: Philosophical Tools for Critical Social Analysis|PHIL-2024-L-1|Year|10|David Peritz|W|3:35 PM-4:30 PM|SWIN|102|Group conference, meets weekly
Intro Social Theory: Philosophical Tools for Critical Social Analysis|PHIL-2024-L-1|Year|10|David Peritz|W|2:00 PM-2:55 PM|SWIN|102|Group conference, meets weekly
Intro Social Theory: Philosophical Tools for Critical Social Analysis|PHIL-2024-L-1|Year|10|David Peritz|W|11:05 AM-1:00 PM|PAC|3|Open
Philosophy and the Founding of the Modern World|PHIL-2027-L-1|Year|10|Abraham Anderson|W|5:10 PM-6:05 PM|BATES|203|Group conference
Philosophy and the Founding of the Modern World|PHIL-2027-L-1|Year|10|Abraham Anderson|M|5:10 PM-6:05 PM|BATES|203|Group conference
Philosophy and the Founding of the Modern World|PHIL-2027-L-1|Year|10|Abraham Anderson|MW|3:35 PM-5:00 PM|BATES|203|Open
Ancient Philosophies as Ways of Living in Truth|PHIL-3021-R-1|Fall|5|Charles Snyder|MW|9:30 AM-10:55 AM|BATES|015|Open
Philosophy and/as/of Literature|PHIL-3025-R-1|Year|10|Scott Shushan|R|3:35 PM-6:30 PM|ANDH|103|Open
Literature, Art, & (Environmental) Ethical Attention|PHIL-3048-R-1|Spring|5|Sarah DiMaggio|TR|3:35 PM-5:00 PM|LIBR|E2|Open
Human/Nature: Philosophical Perspectives|PHIL-3119-R-1|Spring|5|Roy Ben-Shai|T|3:35 PM-6:30 PM|ANDH|103|Open
Ethics of Eating in the Age of Climate Change|PHIL-3217-R-1|Fall|0|Sarah DiMaggio|TR|3:35 PM-5:00 PM|SLON|SR|Open
Descartes and Princess Elizabeth: From Metaphysics to Morals|PHIL-3332-R-1|Fall|5|Abraham Anderson|T|3:35 PM-6:30 PM|TITS|LR|Open
Kant's Political Philosophy|PHIL-3521-R-1|Spring|5|Abraham Anderson|T|3:35 PM-6:30 PM|TITS|LR|Sophomores and above
Reflections from Damaged Life: Adorno and Critical Theory|PHIL-3623-R-1|Spring|5|Scott Shushan|MW|3:35 PM-6:30 PM|DL|LR|Intermediate
Capitalism and Schizophrenia: A Thousand Plateaus|PHIL-3730-R-1|Fall|5|Roy Ben-Shai|T|3:35 PM-6:30 PM|ANDH|103|Intermediate
First Year Studies in Physics It's About Time|PHYS-1023-F-1|Fall|5|Merideth Frey|TR|9:30 AM-10:55 AM|BATES|203|First Year Studies
First Year Studies in Physics It's About Time|PHYS-1023-F-1|Fall|5|Merideth Frey|F|2:00 PM-2:55 PM|SC|116|Group conference/Lab
First Year Studies in Physics It's About Time|PHYS-1023-F-1|Fall|5|Merideth Frey|F|11:30 AM-12:25 PM|SC|116|Group conference/Lab
FYS: Nuclear Magnetic Resonance Research Seminar|PHYS-1025-F-1|Spring|5|Merideth Frey|TR|9:30 AM-10:55 AM|SC|116|First Year Studies
It's About Time|PHYS-2052-L-1|Fall|5|Merideth Frey|F|11:30 AM-12:25 PM|SC|116|Group conference/Lab
It's About Time|PHYS-2052-L-1|Fall|5|Merideth Frey|TR|9:30 AM-10:55 AM|BATES|203|Open
It's About Time|PHYS-2052-L-1|Fall|5|Merideth Frey|F|2:00 PM-2:55 PM|SC|116|Group conference/Lab
Nuclear Magnetic Resonance Research Seminar|PHYS-3053-R-1|Spring|5|Merideth Frey|TR|9:30 AM-10:55 AM|SC|116|Open
Classical Mechanics (Calculus-Based General Physics)|PHYS-3101-R-1|Fall|5|TBATBA|W|3:35 PM-5:30 PM|SC|116|Lab
Classical Mechanics (Calculus-Based General Physics)|PHYS-3101-R-1|Fall|5|TBATBA|F|9:30 AM-10:55 AM|SC|201|Lab
Classical Mechanics (Calculus-Based General Physics)|PHYS-3101-R-1|Fall|5|TBATBA|W|11:05 AM-12:30 PM|SC|201|Open
Electromagnetism and Light (Calculus-Based General Physics)|PHYS-3102-R-1|Spring|5|TBATBA|W|11:05 AM-12:30 PM|SC|201|Open
Electromagnetism and Light (Calculus-Based General Physics)|PHYS-3102-R-1|Spring|5|TBATBA|F|9:30 AM-10:55 AM|SC|201|Lab
Electromagnetism and Light (Calculus-Based General Physics)|PHYS-3102-R-1|Spring|5|TBATBA|W|3:35 PM-5:30 PM|SC|116|Lab
Introduction to Mechanics: General Physics without Calculus|PHYS-3200-R-1|Fall|5|Merideth Frey|F|9:30 AM-10:55 AM|SC|116|
Introduction to Mechanics: General Physics without Calculus|PHYS-3200-R-1|Fall|5|Merideth Frey|W|11:05 AM-12:30 PM|SC|116|Open
Introduction to Mechanics: General Physics without Calculus|PHYS-3200-R-1|Fall|5|Merideth Frey|R|1:30 PM-3:25 PM|SC|116|Lab
