CourseTitle|CourseCode|Subterm|CreditHours|Instructor|CourseDays|TimeSlot|BuildingCode|Room|Comments
Introduction to Painting|ARTS-3060-R-2|Spring|5|Claudia Bitran|W|10:00 AM-12:00 PM|HEIM|206|
Surface and Substance: Painting with Acrylic|ARTS-3078-R-1|Fall|5|Erin Ikeler|TR|3:35 PM-6:00 PM|HEIM|203|Sophomores and above
Surface and Substance: Painting with Acrylic|ARTS-3078-R-2|Spring|5|Erin Ikeler|TR|3:35 PM-6:00 PM|HEIM|203|Sophomores and above
Painting Pop|ARTS-3079-R-1|Fall|2|Claudia Bitran|T|3:00 PM-5:00 PM|HEIM|206|Open
Creative Research|ARTS-3081-R-1|Fall|2|Angela Ferraiolo|R|12:00 PM-2:00 PM|HEIM|203|Open
Art for Good|ARTS-3102-R-1|Spring|2|Joel Sternfeld|T|11:05 AM-1:00 PM|HEIM|106|Open
Black and White Darkroom: An Immersion|ARTS-3103-R-1|Fall|5|Sophie Barbasch|M|3:00 PM-5:00 PM|HEIM|106|Open
Black and White Darkroom: An Immersion|ARTS-3103-R-1|Fall|5|Sophie Barbasch|W|1:00 PM-4:00 PM|HEIM|106|
Reality TV: Ritual and Catharsis|ARTS-3109-R-1|Spring|2|Sophie Barbasch|M|6:00 PM-8:00 PM|HEIM|106|Open
The New Narrative Photography|ARTS-3111-R-1|Year|10|Joel Sternfeld|R|12:00 PM-2:00 PM|HEIM|106|
The New Narrative Photography|ARTS-3111-R-1|Year|10|Joel Sternfeld|M|11:05 AM-2:00 PM|HEIM|106|Open
Contemporary Art Related Photography Through Its Exemplars|ARTS-3117-R-1|Year|10|Joel Sternfeld|R|4:00 PM-6:00 PM|HEIM|106|
Contemporary Art Related Photography Through Its Exemplars|ARTS-3117-R-1|Year|10|Joel Sternfeld|T|3:00 PM-6:00 PM|HEIM|106|Open
Relationship Stories|ARTS-3154-R-1|Spring|5|Sophie Barbasch|W|1:00 PM-4:00 PM|HEIM|106|
Relationship Stories|ARTS-3154-R-1|Spring|5|Sophie Barbasch|M|3:00 PM-5:00 PM|HEIM|106|Intermediate
Zines and Artists' Publications|ARTS-3205-R-1|Spring|2|Katherine Garth|M|2:00 PM-4:00 PM|HEIM|109|Open
Relief Printmaking|ARTS-3207-R-1|Spring|5|Vera Iliatova|R|10:00 AM-12:00 PM|HEIM|109|
Relief Printmaking|ARTS-3207-R-1|Spring|5|Vera Iliatova|T|10:30 AM-1:30 PM|HEIM|109|Open
Printmaking: Intaglio (Etching)|ARTS-3208-R-1|Fall|5|Katherine Garth|MW|11:05 AM-1:30 PM|HEIM|110|Open
The Painterly Print|ARTS-3212-R-1|Fall|5|Vera Iliatova|R|10:00 AM-12:00 PM|HEIM|109|
The Painterly Print|ARTS-3212-R-1|Fall|5|Vera Iliatova|T|10:30 AM-1:30 PM|HEIM|109|Open
Advanced Printmaking Workshop|ARTS-3275-R-1|Spring|5|Katherine Garth|MW|11:05 AM-1:30 PM|HEIM|110|Intermediate/Advanced
What Remains: Presenting Absence|ARTS-3301-R-1|Spring|2|Jean Shin|M|11:05 AM-1:00 PM|HEIM|212|Open
Concrete Narratives|ARTS-3303-R-1|Spring|2|Galen Pardee|T|3:00 PM-5:00 PM|HEIM|213|Open
Free-Standing: Intro to Sculptural Forms|ARTS-3305-R-1|Fall|5|Katie Bell|MR|1:00 PM-3:25 PM|HEIM|118|Open
Activating Art in Public Place|ARTS-3315-R-1|Spring|5|Jean Shin|M|2:00 PM-5:00 PM|HEIM|119|Open
Activating Art in Public Place|ARTS-3315-R-1|Spring|5|Jean Shin|R|2:00 PM-4:00 PM|HEIM|119|
Experiments in Sculptural Drawing|ARTS-3316-R-1|Spring|2|Katie Bell|R|10:00 AM-12:00 PM|HEIM|118|Open
Assemblage: The Found Palette|ARTS-3319-R-1|Spring|5|Katie Bell|MR|1:00 PM-3:25 PM|HEIM|118|Open
Creative Reuse|ARTS-3341-R-1|Fall|5|Jean Shin|T|9:30 AM-11:30 AM|HEIM|119|
Creative Reuse|ARTS-3341-R-1|Fall|5|Jean Shin|T|9:30 AM-12:30 PM|HEIM|119|Open
New Genres: Drawing Machines|ARTS-3343-R-1|Spring|5|Angela Ferraiolo|MW|1:00 PM-3:25 PM|HEIM|107|Open
New Genres: Drawing Machines|ARTS-3343-R-1|Spring|5|Angela Ferraiolo|MW|1:00 PM-2:00 PM|HEIM|211|
New Genres: Abstract Video|ARTS-3350-R-1|Spring|5|Angela Ferraiolo|MW|10:00 AM-12:30 PM|HEIM|107|Open
New Genres: Abstract Video|ARTS-3350-R-1|Spring|5|Angela Ferraiolo|MW|10:00 AM-11:00 AM|HEIM|111|
New Genres: Diary Forms|ARTS-3351-R-1|Fall|5|Angela Ferraiolo|MW|10:00 AM-12:30 PM|HEIM|107|Open
New Genres: Diary Forms|ARTS-3351-R-1|Fall|5|Angela Ferraiolo|MW|10:00 AM-11:00 AM|HEIM|111|
New Genres: Graphic Novel|ARTS-3352-R-1|Spring|2|Angela Ferraiolo|W|4:00 PM-6:00 PM|HEIM|107|Open
PostConcreteness II|ARTS-3353-R-1|Fall|5|Galen Pardee|TR|11:05 AM-1:30 PM|HEIM|213|Open
Robert F. Wagner Climate Futures|ARTS-3361-A-1|Spring|5|Galen Pardee|TR|11:05 AM-1:30 PM|HEIM|213|Open
Art from Code: New Genres|ARTS-3392-R-1|Fall|5|Angela Ferraiolo|MW|1:00 PM-3:00 PM|HEIM|107|Open
Art from Code: New Genres|ARTS-3392-R-1|Fall|5|Angela Ferraiolo|MW|1:00 PM-2:00 PM|HEIM|210|
Performance Art|ARTS-3424-R-1|Spring|5|Clifford Owens|MR|4:35 PM-7:00 PM|HEIM|112|Open
Performance Art:Tactics|ARTS-3428-R-1|Fall|5|Dawn Kasper|MW|3:35 PM-5:30 PM|HEIM|112|Open
Push and Pull: SubD Modeling in Rhino|ARTS-3470-R-1|Spring|2|Momoyo Torimitsu|M|2:00 PM-4:00 PM|HEIM|210|Open
Push and Pull: SubD Modeling in Rhino|ARTS-3470-R-1|Spring|2|Momoyo Torimitsu|M|2:00 PM-4:00 PM|HEIM|209A|
Introduction to Rhino and Digital Fabrication|ARTS-3476-R-1|Fall|5|Momoyo Torimitsu|MR|11:05 AM-1:30 PM|HEIM|209A|Open
Introduction to Rhino and 3D Fabrication|ARTS-3476-R-2|Spring|5|Momoyo Torimitsu|MR|11:05 AM-1:30 PM|HEIM|209A|Open
Introduction to Rhino and 3D Fabrication|ARTS-3476-R-2|Spring|5|Momoyo Torimitsu|M|11:05 AM-1:30 PM|HEIM|111|
Senior Studio|ARTS-4112-R-1|Year|10|John O'Connor|W|10:00 AM-3:25 PM|HEIM|305|Advanced
East Meets West: China & the World in Medieval Times|ASIA-2012-L-1|Spring|5|Ellen Neskar|W|3:35 PM-4:30 PM|MORL|CL|Group conference, meets weekly
East Meets West: China & the World in Medieval Times|ASIA-2012-L-1|Spring|5|Ellen Neskar|M|3:35 PM-5:30 PM|SC|103|Open
East Meets West: China & the World in Medieval Times|ASIA-2012-L-1|Spring|5|Ellen Neskar|W|11:05 AM-12:00 PM|MORL|CL|Group conference, meets weekly
East Meets West: China & the World in Medieval Times|ASIA-2012-L-1|Spring|5|Ellen Neskar|W|2:00 PM-2:55 PM|MORL|CL|Group conference, meets weekly
Gender and History in China:Beyond Eunuchs & Concubines|ASIA-3166-R-1|Year|10|Kevin Landdeck|W|3:35 PM-6:00 PM|TWEED|LR|Sophomores and above
Virtue and the Good Life: Ethics in Classical Chinese Philosophy|ASIA-3351-R-1|Spring|5|Ellen Neskar|MR|11:05 AM-12:30 PM|MORL|CL|Open
FYS: The Brain According to Oliver Sacks|BIOL-1027-F-1|Year|10|Cecilia Toro|TF|11:05 AM-12:30 PM|SHEFF|02|First Year Studies
FYS: The Brain According to Oliver Sacks|BIOL-1027-F-1|Year|10|Cecilia Toro|W|7:00 PM-9:00 PM|TITS|LH|Group collaborative; fall only
General Biology: Genes, Cells, and Evolution|BIOL-2020-L-1|Fall|5|Drew Cressman|F|10:00 AM-10:55 AM|SC|101|Group conference
General Biology: Genes, Cells, and Evolution|BIOL-2020-L-1|Fall|5|Drew Cressman|F|11:05 AM-12:00 PM|SC|101|Group conference
General Biology: Genes, Cells, and Evolution|BIOL-2020-L-1|Fall|5|Drew Cressman|R|2:00 PM-5:00 PM|SC|205|Lab, section 2
General Biology: Genes, Cells, and Evolution|BIOL-2020-L-1|Fall|5|Drew Cressman|W|2:00 PM-5:00 PM|SC|205|Lab, section 1
General Biology: Genes, Cells, and Evolution|BIOL-2020-L-1|Fall|5|Drew Cressman|MW|9:00 AM-10:55 AM|SC|103|Open
Evolutionary Biology|BIOL-2030-L-1|Spring|5|Michelle Hersh|F|2:00 PM-3:25 PM|SC|201|Group conference, meets weekly
Evolutionary Biology|BIOL-2030-L-1|Spring|5|Michelle Hersh|M|2:00 PM-3:25 PM|SC|103|Open
Evolutionary Biology|BIOL-2030-L-1|Spring|5|Michelle Hersh|W|2:00 PM-3:25 PM|SHEFF|01|Group conference, meets weekly
Evolutionary Biology|BIOL-2030-L-1|Spring|5|Michelle Hersh|R|2:00 PM-3:25 PM|SC|201|Group conference, meets weekly
Drugs and the Brain|BIOL-2065-L-1|Spring|5|Cecilia Toro|WF|2:00 PM-3:25 PM|SC|103|Open
Drugs and the Brain|BIOL-2065-L-1|Spring|5|Cecilia Toro|R|10:00 AM-10:55 AM|SHEFF|22|Group conference
Drugs and the Brain|BIOL-2065-L-1|Spring|5|Cecilia Toro|R|11:05 AM-12:00 PM|SHEFF|22|Group conference
Anatomy and Physiology|BIOL-3012-R-1|Spring|5|Beth Ditkoff|T|9:30 AM-11:30 AM|SC|206|Lab
Anatomy and Physiology|BIOL-3012-R-1|Spring|5|Beth Ditkoff|MW|9:30 AM-10:55 AM|SC|101|Open
Ecology|BIOL-3014-R-1|Fall|5|Michelle Hersh|W|9:30 AM-12:30 PM|SC|205|Lab
Ecology|BIOL-3014-R-1|Fall|5|Michelle Hersh|TF|11:05 AM-12:30 PM|SC|201|Open
Viruses and Pandemics|BIOL-3073-R-1|Spring|5|Drew Cressman|MW|9:00 AM-10:55 AM|SC|201|Open
Hormones, Food, and Sex|BIOL-3202-R-1|Fall|5|Cecilia Toro|WF|2:00 PM-3:25 PM|SC|201|Open
Microbiology|BIOL-3253-R-1|Spring|5|Michelle Hersh|W|9:30 AM-12:30 PM|SC|205|Lab
Microbiology|BIOL-3253-R-1|Spring|5|Michelle Hersh|TF|11:05 AM-12:30 PM|SC|201|Intermediate
Giving, Taking, and Cheating: The Biology of Symbiosis|BIOL-3311-R-1|Fall|5|Michelle Hersh|MR|2:00 PM-3:25 PM|SC|201|Open
Genetics|BIOL-3617-R-1|Fall|5|Drew Cressman|TR|9:00 AM-10:55 AM|SC|201|Sophomores and above
Genetics|BIOL-3617-R-1|Fall|5|Drew Cressman|M|2:00 PM-5:00 PM|SC|206|Lab
Cell Biology|BIOL-3657-R-1|Spring|5|Drew Cressman|TR|9:00 AM-10:55 AM|SC|201|Intermediate
Cell Biology|BIOL-3657-R-1|Spring|5|Drew Cressman|R|2:00 PM-5:00 PM|SC|206|Lab
FYS: The Extraordinary Chemistry of Everyday Life|CHEM-1021-F-1|Year|10|Mali Yin|TR|9:30 AM-10:55 AM|SC|101|First Year Studies
General Chemistry I|CHEM-2010-L-1|Fall|5|Colin Abernethy|W|10:00 AM-10:55 AM|SHEFF|01|Group conference
General Chemistry I|CHEM-2010-L-1|Fall|5|Colin Abernethy|T|10:00 AM-10:55 AM|SHEFF|01|Group conference
General Chemistry I|CHEM-2010-L-1|Fall|5|Colin Abernethy|MT|3:35 PM-6:35 PM|SC|305|Lab
General Chemistry I|CHEM-2010-L-1|Fall|5|Colin Abernethy|MR|11:05 AM-12:30 PM|SC|103|Open
General Chemistry II|CHEM-2011-L-1|Spring|5|Michael Malin|MR|11:05 AM-12:30 PM|SC|103|Intermediate
General Chemistry II|CHEM-2011-L-1|Spring|5|Michael Malin|MT|3:35 PM-6:35 PM|SC|305|Lab
General Chemistry II|CHEM-2011-L-1|Spring|5|Michael Malin|T|10:00 AM-10:55 AM|SHEFF|01|Group conference
General Chemistry II|CHEM-2011-L-1|Spring|5|Michael Malin|W|10:00 AM-10:55 AM|SHEFF|01|Group conference
The Chemistry of Art Materials|CHEM-3132-R-1|Fall|5|Michael Malin|MR|7:00 PM-8:25 PM|SC|101|Open
Molecules: Bonding, Structure and Reactivity|CHEM-3521-R-1|Fall|5|Colin Abernethy|W|3:35 PM-6:00 PM|SC|305|Lab
Molecules: Bonding, Structure and Reactivity|CHEM-3521-R-1|Fall|5|Colin Abernethy|MR|2:00 PM-3:25 PM|SC|101|Intermediate
Organic Chemistry I|CHEM-3650-R-1|Fall|5|Mali Yin|WF|2:00 PM-3:25 PM|SC|101|Open
Organic Chemistry I|CHEM-3650-R-1|Fall|5|Mali Yin|W|3:35 PM-7:00 PM|SC|304|Lab
Organic Chemistry II|CHEM-3651-R-1|Spring|5|Mali Yin|WF|2:00 PM-3:25 PM|SC|101|Intermediate
Organic Chemistry II|CHEM-3651-R-1|Spring|5|Mali Yin|W|3:35 PM-7:00 PM|SC|304|Lab
An Introduction to Computer Science: The Way of the Program|COMP-2012-L-1|Fall|5|James Marshall|TR|3:35 PM-5:00 PM|SC|103|Open
An Introduction to Computer Science: The Way of the Program|COMP-2012-L-1|Fall|5|James Marshall|F|10:00 AM-10:55 AM|SC|301|Group conference
An Introduction to Computer Science: The Way of the Program|COMP-2012-L-1|Fall|5|James Marshall|F|11:05 AM-12:00 PM|SC|301|Group conference
An Introduction to Computer Science: The Way of the Program|COMP-2012-L-1|Fall|5|James Marshall|W|9:30 AM-10:55 AM|SC|104|Lab
An Introduction to Computer Science: The Way of the Program|COMP-2012-L-1|Fall|5|James Marshall|W|2:00 PM-3:25 PM|SC|104|Lab
Digital Disruptions|COMP-3122-R-1|Fall|5|Michael Siff|MW|9:30 AM-10:55 AM|SC|101|Open
Artificial Intelligence and Society|COMP-3213-R-1|Spring|5|James Marshall|TF|11:05 AM-12:30 PM|SC|101|Open
Intermediate Programming in Python|COMP-3557-R-1|Fall|5|James Marshall|TR|9:30 AM-10:55 AM|SC|104|Intermediate
Data Structures and Algorithms|COMP-3865-R-1|Spring|5|James Marshall|TR|3:35 PM-5:00 PM|SC|104|Intermediate
Data Structures and Algorithms|COMP-3865-R-1|Spring|5|James Marshall|W|3:35 PM-5:00 PM|SC|104|Lab
Random and Prime|COMP-4111-R-1|Spring|5|Michael Siff|MW|9:30 AM-10:55 AM|SC|301|Advanced
